geneNames	GSM44908	GSM44909	GSM44910	GSM44911	GSM44912	GSM44913	GSM44938	GSM44939	GSM44940	GSM44941	GSM44942	GSM44943	GSM44944
ABCC3	108.410654885	116.2815259	83.16181882	105.87151045	74.2305896365	103.4555434	147.63101285	271.225331	168.05844215	253.7988057	11.896446466	210.92788205	152.9609456
ABCC4	49.60308657	22.4709429615	36.85699229	31.81865286	15.80273852	32.46768038	47.31942247	27.829196835	36.372450165	70.859483315	25.592968175	23.91714966	56.54597279
ABCC5	222.2816744	205.1570705	295.5684573	246.3201995	203.6781638	202.029382866667	130.298951393333	132.334535816667	147.8982037	117.599478	187.555109266667	141.943173733333	141.207202426667
ABCC8	283.25270975	271.8565713	289.8216553	343.1876326	333.8246787	264.16695375	132.1681086	138.40051625	188.9740776	87.255721065	139.2010585	131.84451215	88.374184595
ABCC9	32.292080123	23.26106391	40.795269301	28.2270451163333	48.7349231566667	57.436309952	12.8577202713333	31.9055380956667	70.6077835533333	38.1954944983333	40.9482813803333	31.56042277	35.270815016
ABCD1	90.38833642	74.79324095	31.53761613	147.9780817	25.93898442	20.66718763	16.38336554	14.87801202	20.3486714	30.36176567	72.52868388	29.88782657	20.12610611
ABCD2	4.606510161	12.35479092	7.201649978	7.189865247	10.14944226	21.28407058	2.924342908	5.596077912	1.77984118	2.238863267	2.708395457	7.725836801	1.460000918
ABCD3	575.1231107	718.4043168	867.0983337	577.0544127	674.2340955	570.4463086	463.9264022	502.5608582	478.213206	685.0320746	323.8800617	583.0501465	557.1024589
ABCD4	112.8137681	138.8054009	106.6952703	43.87384465	172.5570252	115.0201633	53.02988216	40.28026205	116.8097589	30.67636139	49.63237232	53.86070751	75.88493226
ABCE1	216.0658214	198.9847848	232.147237	159.1172558	127.410043	173.6717514	117.6538666	174.4137219	184.2282664	164.0305602	122.2718169	148.7941079	165.3498105
ABCF1	812.001688	764.7264138	738.7813533	877.5509663	767.1124432	811.4058436	321.3012058	362.3575102	351.0475099	398.7040994	459.43516	430.2944847	423.1335921
ABCF2	69.22185207	113.1822953	115.2162844	150.2968556	126.6480642	99.47835596	120.9831789	73.02465185	103.3196785	88.75642145	113.2153562	112.7792208	86.05928281
ABCF3	717.5642337	861.7540369	707.3965749	611.1188361	621.9894652	907.651278	686.9550478	514.3036704	559.6157109	570.7923734	592.9801152	747.1299426	613.8044444
ABCG1	8.205274252	7.330214127	2.48752956	3.307691613	4.084835154	3.997043602	23.55963503	0.860921373	2.695924544	3.432596149	3.005300138	13.91993138	1.53976907
ABCG2	81.79351402	24.44272394	26.51718986	46.71344398	51.48306676	49.79834587	59.06532683	55.24440278	37.90878776	29.6454689	174.5271275	62.24751584	25.77925244
ABHD14A	324.6306363	628.2184653	516.080008	555.3261745	434.7165668	542.0293024	652.2903225	493.4195279	628.1513986	274.3495518	375.5128774	538.3584689	475.2614814
ABHD2	109.4911063	24.53691104	93.62058573	32.06630333	60.41162378	144.2701142	75.02285291	94.72802279	64.72203965	68.74823808	166.3139209	36.50254789	56.80593139
ABHD3	1.499978433	11.7500637	12.25624448	6.683395305	0.927911021	1.130116475	1.717899556	10.7901499	1.74400082	13.92537718	1.359549714	1.279084044	3.284058318
ABHD5	69.46194455	52.2900164	54.82589007	35.697109888	34.639686531	45.210277065	42.32477198	78.852002805	54.2218951	56.800417495	23.397392185	66.32998293	64.42698986
ABI1	961.9392326	691.27700205	889.7479493	861.8377803	917.478871	787.72631865	433.0965388	579.7419302	608.05272315	681.59390505	620.5080704	494.7590931	546.023557
ABI2	175.4745778	119.76735765	134.194654935	158.001536125	118.4404282725	125.5637315425	146.23935441	150.6615651225	127.4285644725	191.260622625	151.6717701	139.0647029275	143.174922935
ABL1	1132.642565125	1276.31278544833	1261.03254747167	1369.58704637833	1353.17947266	1134.10505839	1128.01664223333	800.6822319	927.0091983	777.976555703333	911.48153085	901.268375116667	849.320893291666
ABL2	22.9416322	22.88537736	25.62084132	18.81995769	28.21927844	22.60801327	33.12775541	66.52416354	21.90449569	18.97538725	43.44409737	11.94387353	84.31842056
ABLIM1	638.0951175	358.5374612	525.477797	196.0417013	189.5961314	244.1806471	428.9317629	654.5953369	407.1180844	730.7407668	286.937814	597.4045774	527.3116554
ABLIM3	547.0289709	725.7662556	568.5984638	577.3042022	345.0087506	479.5902003	532.7060586	740.9248873	757.9690965	435.8823923	302.5870599	939.4654933	702.0202479
